fastq	Accession
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_opt_13_R1.fastq.gz	SRR33940340
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_opt_15_R1.fastq.gz	SRR33940337
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_opt_17_R1.fastq.gz	SRR33940336
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_opt_19_R1.fastq.gz	SRR33940591
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_opt_21_R1.fastq.gz	SRR33940590
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33940589
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_opt_7_R1.fastq.gz	SRR33940588
REP2_type1_RUNX1_GCTGC_pegRNA_RTT_opt_9_R1.fastq.gz	SRR33940587
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_opt_11_R1.fastq.gz	SRR33940586
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_opt_13_R1.fastq.gz	SRR33940585
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_opt_15_R1.fastq.gz	SRR33940584
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_opt_17_R1.fastq.gz	SRR33940582
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_opt_19_R1.fastq.gz	SRR33940581
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_opt_21_R1.fastq.gz	SRR33940580
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33940579
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_opt_7_R1.fastq.gz	SRR33940578
REP2_type1_RUNX1_GTCAG_pegRNA_RTT_opt_9_R1.fastq.gz	SRR33940577
REP2_type2_AAVS1_GCTGC_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33940576
REP2_type2_AAVS1_GCTGC_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33940575
REP2_type2_AAVS1_GCTGC_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33940574
REP2_type2_AAVS1_GCTGC_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33940573
REP2_type2_AAVS1_GTCAG_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33940571
REP2_type2_AAVS1_GTCAG_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33940570
REP2_type2_AAVS1_GTCAG_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33940569
REP2_type2_AAVS1_GTCAG_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33940568
REP2_type2_EMX1_GCTGC_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33940567
REP2_type2_EMX1_GCTGC_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33940566
REP2_type2_EMX1_GCTGC_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33940565
REP2_type2_EMX1_GCTGC_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33940564
REP2_type2_EMX1_GCTGC_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33940335
REP2_type2_EMX1_GCTGC_pegRNA_RTT_opt_22_R1.fastq.gz	SRR33940334
REP2_type2_EMX1_GTCAG_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33940332
REP2_type2_EMX1_GTCAG_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33940331
REP2_type2_EMX1_GTCAG_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33940330
REP2_type2_EMX1_GTCAG_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33940329
REP2_type2_EMX1_GTCAG_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33940328
REP2_type2_EMX1_GTCAG_pegRNA_RTT_opt_22_R1.fastq.gz	SRR33940327
REP2_type2_FANCF_GCTGC_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33940326
REP2_type2_FANCF_GCTGC_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33940325
REP2_type2_FANCF_GCTGC_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33940324
REP2_type2_FANCF_GCTGC_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33940323
REP2_type2_FANCF_GCTGC_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33940321
REP2_type2_FANCF_GCTGC_pegRNA_RTT_opt_22_R1.fastq.gz	SRR33940320
REP2_type2_FANCF_GCTGC_pegRNA_RTT_opt_24_R1.fastq.gz	SRR33940319
REP2_type2_FANCF_GTCAG_pegRNA_RTT_opt_12_R1.fastq.gz	SRR33940318
REP2_type2_FANCF_GTCAG_pegRNA_RTT_opt_14_R1.fastq.gz	SRR33940317
REP2_type2_FANCF_GTCAG_pegRNA_RTT_opt_16_R1.fastq.gz	SRR33940316
REP2_type2_FANCF_GTCAG_pegRNA_RTT_opt_18_R1.fastq.gz	SRR33940315
REP2_type2_FANCF_GTCAG_pegRNA_RTT_opt_20_R1.fastq.gz	SRR33940314
REP2_type2_FANCF_GTCAG_pegRNA_RTT_opt_22_R1.fastq.gz	SRR33940313
REP2_type2_FANCF_GTCAG_pegRNA_RTT_opt_24_R1.fastq.gz	SRR33940312
REP2_type2_HEK3_GCTGC_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940310
REP2_type2_HEK3_GCTGC_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940309
REP2_type2_HEK3_GCTGC_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940308
REP2_type2_HEK3_GCTGC_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940166
REP2_type2_HEK3_GCTGC_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940165
REP2_type2_HEK3_GTCAG_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940164
