fastq	Accession
REP1_WtTScells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052481
REP1_WtTScells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052480
REP1_WtTScells_TSseq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052479
REP1_WtTScells_TSseq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052478
REP1_WtTScells_TSseq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052477
REP1_WtTScells_TSseq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052476
REP1_WtTScells_TSseq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052474
REP1_WtTScells_TSseq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052473
REP2_HEKcells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052883
REP2_HEKcells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052882
REP2_HEKcells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052881
REP2_HEKcells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052880
REP2_HEKcells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052879
REP2_HEKcells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052878
REP2_OrthoTS1cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052663
REP2_OrthoTS1cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052662
REP2_OrthoTS1cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052661
REP2_OrthoTS1cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052660
REP2_OrthoTS1cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052659
REP2_OrthoTS1cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052658
REP2_OrthoTS1cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052657
REP2_OrthoTS1cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052656
REP2_OrthoTS1cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052655
REP2_OrthoTS1cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052654
REP2_OrthoTS1cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052652
REP2_OrthoTS1cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052651
REP2_OrthoTS1cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052650
REP2_OrthoTS1cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052649
REP2_OrthoTS1cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052648
REP2_OrthoTS1cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052647
REP2_OrthoTS1cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052646
REP2_OrthoTS1cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052645
REP2_OrthoTS1cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052644
