autocorr,p_value,var_norm,q_value,feature_type,clone,feature
0.02595745574297475,0.025963593875509308,-0.0001370037021671463,0.04350656271031289,expression,M1-T1,Itk
0.016804270333622813,0.016810408466157372,-0.0001370037021671463,0.03789982999642753,expression,M1-T1,Klhl14
-0.001329523210323496,-0.0013233850777889383,-0.0001370037021671463,-0.020512468705728544,expression,M1-T1,Klrb1c
0.01031582860287316,0.010321966735407717,-0.0001370037021671463,0.027759390305622654,expression,M1-T1,Klrk1
7.104034515642265e-05,7.717847769098033e-05,-0.0001370037021671463,0.0008700119303346873,expression,M1-T1,Krt79
0.03620405336956795,0.03621019150210251,-0.0001370037021671463,0.05221004356117105,expression,M1-T1,Ldb2
0.003442672327275569,0.0034488104598101267,-0.0001370037021671463,0.020034373776774996,expression,M1-T1,Mat1a
0.008593864210542321,0.008600002343076878,-0.0001370037021671463,0.02569814405674278,expression,M1-T1,Mmp12
0.049133592768622565,0.04913973090115712,-0.0001370037021671463,0.06482262374195194,expression,M1-T1,Mrc1
0.0064179474032948595,0.006424085535829417,-0.0001370037021671463,0.021529367741698585,expression,M1-T1,Ms4a1
-0.001451714483042284,-0.0014455763505077262,-0.0001370037021671463,-0.025607352494708295,expression,M1-T1,Ms4a2
0.002720446312301186,0.0027265844448357435,-0.0001370037021671463,0.01779455111366485,expression,M1-T1,Ms4a4b
-0.005065600472074706,-0.005059462339540148,-0.0001370037021671463,-0.20912444336765948,expression,M1-T1,Ms4a7
0.0023562973115326675,0.0023624354440672252,-0.0001370037021671463,0.016274555281351993,expression,M1-T1,Ncr1
0.3836997209698269,0.3837058591023615,-0.0001370037021671463,0.4248172011490431,expression,M1-T1,Nes
0.008824570415297444,0.008830708547832002,-0.0001370037021671463,0.02569814405674278,expression,M1-T1,Pacsin1
0.01011038309653617,0.010116521229070728,-0.0001370037021671463,0.027759390305622654,expression,M1-T1,Pax5
0.037663014837172076,0.03766915296970663,-0.0001370037021671463,0.053079261002768434,expression,M1-T1,Plcb1
0.12463750285766266,0.12464364099019722,-0.0001370037021671463,0.1444468362877052,expression,M1-T1,Pld4
0.013044782173925693,0.01305092030646025,-0.0001370037021671463,0.03173164937257002,expression,M1-T1,Pou2af1
0.0308808720163076,0.03088701014884216,-0.0001370037021671463,0.0461444488970654,expression,M1-T1,Prdm1
0.02278492792906211,0.022791066061596667,-0.0001370037021671463,0.04046876120733283,expression,M1-T1,Prex2
0.01942295247777886,0.019429090610313417,-0.0001370037021671463,0.04008539231868175,expression,M1-T1,Prss34
0.027309479367587278,0.027315617500121837,-0.0001370037021671463,0.04439389901013125,expression,M1-T1,Ptprb
-0.00048680714763240924,-0.00048066901509785155,-0.0001370037021671463,-0.00596029578721336,expression,M1-T1,Ptpro
0.034295813871070495,0.03430195200360505,-0.0001370037021671463,0.050150818771761564,expression,M1-T1,Rassf4
0.001049437913667546,0.0010555760462021037,-0.0001370037021671463,0.008726095315270724,expression,M1-T1,Retnlg
0.03014576375989555,0.030151901892430107,-0.0001370037021671463,0.045767129262903876,expression,M1-T1,Robo4
0.6473892529430724,0.647395391075607,-0.0001370037021671463,0.6745968780955904,expression,M1-T1,Sdc1
0.06327209388004232,0.06327823201257687,-0.0001370037021671463,0.07925758353090437,expression,M1-T1,Shank3
0.0016959537163162889,0.0017020918488508466,-0.0001370037021671463,0.01241525819161794,expression,M1-T1,Siglech
0.013895747774671468,0.013901885907206025,-0.0001370037021671463,0.03252516702818013,expression,M1-T1,Skap1
0.028942521657595994,0.028948659790130553,-0.0001370037021671463,0.04487042267470236,expression,M1-T1,Slc7a2
0.13044415235555634,0.1304502904880909,-0.0001370037021671463,0.14977625944928954,expression,M1-T1,Slc8a1
0.021679650538155053,0.021685788670689612,-0.0001370037021671463,0.0401348924651569,expression,M1-T1,Sox17
0.11619294646636373,0.11619908459889829,-0.0001370037021671463,0.1359310046251263,expression,M1-T1,Stxbp6
0.008905315048432698,0.008911453180967255,-0.0001370037021671463,0.02569814405674278,expression,M1-T1,Themis
0.017549967389727014,0.017556105522261573,-0.0001370037021671463,0.03835646001522403,expression,M1-T1,Tmem252
1.0351404298607605,1.035146567993295,-0.0001370037021671463,1.0,expression,M1-T1,Tmprss11e
0.02326499553556866,0.023271133668103218,-0.0001370037021671463,0.04064254330767322,expression,M1-T1,Tppp3
-0.004740339856931068,-0.004734201724396511,-0.0001370037021671463,-0.14676025345629184,expression,M1-T1,Trdc
0.018244113003741392,0.01825025113627595,-0.0001370037021671463,0.03835646001522403,expression,M1-T1,Tspan7
0.004134961992988427,0.004141100125522984,-0.0001370037021671463,0.020034373776774996,expression,M1-T1,Vcan
0.8551352420740004,0.855141380206535,-0.0001370037021671463,0.8763432326083499,expression,M1-T1,Wnt7b
