feature,cor,p_value,q_value,rank,clone,dist_cor,feature_type
Zbtb7b,-0.024872772746905896,0.0006004833060624449,0.002862303758897654,9.0,M1-T1,0.1162556124078452,expression
ARG1 macrophage,-0.004625927657612466,0.5234163634046638,0.6135126226792371,18.0,M1-T1,-0.10301556850243174,subtype_density
CD11c macrophage,-0.059979350696768935,1.2234853250963759e-16,2.499405735554025e-15,4.0,M1-T1,0.15963669551599297,subtype_density
ALOX15 macrophage,-0.004973304433267883,0.4927100531575478,0.5970977762841468,16.0,M1-T1,-0.15121263198384202,subtype_density
Exhausted CD8 T cell,0.01432674302690334,0.04812269451457815,0.0969231734589391,84.0,M1-T1,-0.22913519431545473,subtype_density
CD4 T cell,0.028649662648855698,7.729117235196598e-05,0.0004093569498641161,125.0,M1-T1,-0.22887426477189363,subtype_density
Treg,0.019481558103992207,0.007199459579601064,0.021448389997561504,106.0,M1-T1,-0.18297285565138455,subtype_density
B cell,0.04411824168840854,1.1398502682608864e-09,1.164275631152191e-08,137.0,M1-T1,-0.23450674457028273,subtype_density
cDC,0.09137367137890037,1.4391354829373273e-36,4.115927481200756e-35,141.0,M1-T1,-0.464429493349417,subtype_density
Neutrophil,-0.04641150261035044,1.5007851258995864e-10,1.7884356083636738e-09,7.0,M1-T1,0.02770107638280924,subtype_density
NK,0.023071267763533826,0.0014586065978804336,0.0056373173918081625,117.0,M1-T1,-0.24876105344045396,subtype_density
pDC,0.11832964566836476,2.676767267437966e-60,1.2759257308120971e-58,143.0,M1-T1,-0.36483228773560566,subtype_density
Endothelial,-0.05113932857109384,1.6818531609621175e-12,2.4050500201758277e-11,5.0,M1-T1,0.0011436123635776216,subtype_density
Cancer fibroblast,0.00512999370589691,0.4791822377823857,0.5856671795118047,42.0,M1-T1,-0.24039685353670837,subtype_density
Alveolar fibroblast 1,0.023559836231549287,0.0011531806452351279,0.004850142125547744,120.0,M1-T1,-0.053813257310298866,subtype_density
Alveolar fibroblast 2,-0.07708661461083331,1.7641594010025486e-26,4.204579905722741e-25,3.0,M1-T1,0.3436869702150488,subtype_density
AT1/AT2,0.040730433548622526,1.9035169265971286e-08,1.7012682531461837e-07,135.0,M1-T1,-0.33608612277989197,subtype_density
Club cell,0.0425623453870442,4.265195384190526e-09,4.0661529329283015e-08,136.0,M1-T1,-0.11540667505306718,subtype_density
tumor_boundary_dist,-0.239988010564654,1.9689239999453218e-247,2.8155613199218102e-245,1.0,M1-T1,1.0,distance
lung_boundary_dist,-0.14509305424626315,4.911895308413611e-90,3.512005145515732e-88,2.0,M1-T1,0.0,distance
