bits,blank,intID
"['r1', 'r4', 'r5', 'r11', 'r16', 'r20']",FALSE,intID307
"['r1', 'r4', 'r5', 'r11', 'r17', 'r21']",FALSE,intID308
"['r1', 'r4', 'r5', 'r13', 'r17', 'r20']",FALSE,intID309
"['r1', 'r4', 'r6', 'r7', 'r9', 'r20']",FALSE,intID310
"['r1', 'r4', 'r6', 'r7', 'r10', 'r18']",FALSE,intID311
"['r1', 'r4', 'r6', 'r7', 'r11', 'r16']",FALSE,intID312
"['r1', 'r4', 'r6', 'r7', 'r12', 'r15']",FALSE,intID313
"['r1', 'r4', 'r6', 'r7', 'r13', 'r17']",FALSE,intID314
"['r1', 'r4', 'r6', 'r8', 'r10', 'r11']",FALSE,intID315
"['r1', 'r4', 'r6', 'r8', 'r12', 'r13']",FALSE,intID316
"['r1', 'r4', 'r6', 'r8', 'r14', 'r15']",FALSE,intID317
"['r1', 'r4', 'r6', 'r8', 'r18', 'r19']",FALSE,intID318
"['r1', 'r4', 'r6', 'r9', 'r10', 'r19']",FALSE,intID319
"['r1', 'r4', 'r6', 'r9', 'r11', 'r17']",FALSE,intID320
"['r1', 'r4', 'r6', 'r9', 'r12', 'r14']",FALSE,intID321
"['r1', 'r4', 'r6', 'r9', 'r13', 'r15']",FALSE,intID322
"['r1', 'r4', 'r6', 'r11', 'r12', 'r21']",FALSE,intID323
"['r1', 'r4', 'r6', 'r13', 'r16', 'r21']",FALSE,intID324
"['r1', 'r4', 'r6', 'r14', 'r20', 'r21']",FALSE,intID325
"['r1', 'r4', 'r6', 'r15', 'r18', 'r21']",FALSE,intID326
"['r1', 'r4', 'r6', 'r17', 'r19', 'r21']",FALSE,intID327
"['r1', 'r4', 'r7', 'r8', 'r10', 'r15']",FALSE,intID328
"['r1', 'r4', 'r7', 'r8', 'r11', 'r13']",FALSE,intID329
"['r1', 'r4', 'r7', 'r8', 'r14', 'r17']",FALSE,intID330
"['r1', 'r4', 'r7', 'r8', 'r16', 'r19']",FALSE,intID331
"['r1', 'r4', 'r7', 'r9', 'r10', 'r11']",FALSE,intID332
"['r1', 'r4', 'r7', 'r9', 'r14', 'r15']",FALSE,intID333
"['r1', 'r4', 'r7', 'r9', 'r16', 'r17']",FALSE,intID334
"['r1', 'r4', 'r7', 'r9', 'r18', 'r19']",FALSE,intID335
"['r1', 'r4', 'r7', 'r10', 'r16', 'r20']",FALSE,intID336
"['r1', 'r4', 'r7', 'r11', 'r14', 'r21']",FALSE,intID337
"['r1', 'r4', 'r7', 'r12', 'r14', 'r20']",FALSE,intID338
"['r1', 'r4', 'r7', 'r13', 'r18', 'r21']",FALSE,intID339
"['r1', 'r4', 'r7', 'r15', 'r19', 'r21']",FALSE,intID340
"['r1', 'r4', 'r8', 'r9', 'r10', 'r17']",FALSE,intID341
"['r1', 'r4', 'r8', 'r9', 'r12', 'r16']",FALSE,intID342
"['r1', 'r4', 'r8', 'r9', 'r13', 'r19']",FALSE,intID343
"['r1', 'r4', 'r8', 'r9', 'r15', 'r18']",FALSE,intID344
"['r1', 'r4', 'r8', 'r10', 'r16', 'r21']",FALSE,intID345
"['r1', 'r4', 'r8', 'r11', 'r19', 'r21']",FALSE,intID346
"['r1', 'r4', 'r8', 'r13', 'r14', 'r21']",FALSE,intID347
"['r1', 'r4', 'r8', 'r15', 'r16', 'r20']",FALSE,intID348
"['r1', 'r4', 'r8', 'r17', 'r18', 'r21']",FALSE,intID349
