generations,edit_rate,iteration,site_edit_frac
60,0.04,0,0.9
61,0.04,0,0.9
62,0.04,0,0.9
63,0.038,0,0.9
64,0.038,0,0.9
65,0.038,0,0.9
66,0.033,0,0.9
67,0.036000000000000004,0,0.9
68,0.036000000000000004,0,0.9
69,0.036000000000000004,0,0.9
70,0.036000000000000004,0,0.9
71,0.034,0,0.9
72,0.031,0,0.9
73,0.031,0,0.9
74,0.029,0,0.9
75,0.029,0,0.9
76,0.031,0,0.9
77,0.031,0,0.9
78,0.031,0,0.9
79,0.031,0,0.9
80,0.027,0,0.9
81,0.027,0,0.9
82,0.027,0,0.9
83,0.03,0,0.9
84,0.03,0,0.9
85,0.03,0,0.9
86,0.026000000000000002,0,0.9
87,0.03,0,0.9
88,0.03,0,0.9
89,0.026000000000000002,0,0.9
90,0.03,0,0.9
91,0.03,0,0.9
92,0.026000000000000002,0,0.9
93,0.024,0,0.9
94,0.024,0,0.9
95,0.024,0,0.9
96,0.025,0,0.9
97,0.025,0,0.9
98,0.025,0,0.9
99,0.024,0,0.9
100,0.022,0,0.9
2,0.28700000000000003,1,0.5
3,0.209,1,0.5
4,0.15,1,0.5
5,0.138,1,0.5
6,0.112,1,0.5
7,0.09,1,0.5
8,0.089,1,0.5
9,0.074,1,0.5
10,0.07100000000000001,1,0.5
11,0.063,1,0.5
12,0.057,1,0.5
13,0.053,1,0.5
14,0.048,1,0.5
15,0.049,1,0.5
16,0.041,1,0.5
17,0.045,1,0.5
18,0.037,1,0.5
19,0.039,1,0.5
20,0.036000000000000004,1,0.5
21,0.033,1,0.5
22,0.03,1,0.5
23,0.029,1,0.5
24,0.027,1,0.5
25,0.026000000000000002,1,0.5
26,0.031,1,0.5
27,0.026000000000000002,1,0.5
28,0.026000000000000002,1,0.5
29,0.025,1,0.5
30,0.021,1,0.5
31,0.024,1,0.5
32,0.023,1,0.5
33,0.023,1,0.5
34,0.023,1,0.5
35,0.023,1,0.5
36,0.018000000000000002,1,0.5
37,0.018000000000000002,1,0.5
38,0.018000000000000002,1,0.5
39,0.019,1,0.5
40,0.019,1,0.5
41,0.019,1,0.5
42,0.017,1,0.5
43,0.017,1,0.5
44,0.017,1,0.5
45,0.017,1,0.5
46,0.017,1,0.5
47,0.017,1,0.5
48,0.017,1,0.5
49,0.015,1,0.5
50,0.015,1,0.5
51,0.014,1,0.5
52,0.014,1,0.5
53,0.014,1,0.5
54,0.012,1,0.5
55,0.012,1,0.5
56,0.012,1,0.5
57,0.012,1,0.5
58,0.012,1,0.5
59,0.012,1,0.5
60,0.012,1,0.5
61,0.011,1,0.5
62,0.011,1,0.5
63,0.011,1,0.5
64,0.011,1,0.5
65,0.011,1,0.5
66,0.011,1,0.5
67,0.011,1,0.5
68,0.011,1,0.5
69,0.011,1,0.5
70,0.011,1,0.5
71,0.009000000000000001,1,0.5
72,0.01,1,0.5
73,0.01,1,0.5
74,0.01,1,0.5
75,0.01,1,0.5
76,0.01,1,0.5
77,0.01,1,0.5
78,0.01,1,0.5
79,0.01,1,0.5
80,0.01,1,0.5
81,0.01,1,0.5
82,0.01,1,0.5
83,0.01,1,0.5
84,0.01,1,0.5
85,0.01,1,0.5
86,0.01,1,0.5
87,0.01,1,0.5
88,0.01,1,0.5
89,0.01,1,0.5
90,0.008,1,0.5
91,0.008,1,0.5
92,0.008,1,0.5
93,0.008,1,0.5
94,0.008,1,0.5
95,0.008,1,0.5
96,0.008,1,0.5
97,0.008,1,0.5
98,0.008,1,0.5
99,0.008,1,0.5
100,0.008,1,0.5
3,0.254,1,0.6
4,0.21,1,0.6
5,0.17500000000000002,1,0.6
6,0.14100000000000001,1,0.6
7,0.11800000000000001,1,0.6
8,0.113,1,0.6
9,0.098,1,0.6
10,0.08700000000000001,1,0.6
11,0.082,1,0.6
12,0.077,1,0.6
13,0.07200000000000001,1,0.6
14,0.056,1,0.6
15,0.061,1,0.6
16,0.058,1,0.6
17,0.054,1,0.6
18,0.051000000000000004,1,0.6
19,0.047,1,0.6
20,0.05,1,0.6
21,0.045,1,0.6
22,0.041,1,0.6
23,0.035,1,0.6
24,0.039,1,0.6
25,0.036000000000000004,1,0.6
26,0.037,1,0.6
27,0.034,1,0.6
28,0.033,1,0.6
29,0.032,1,0.6
30,0.032,1,0.6
31,0.029,1,0.6
32,0.029,1,0.6
33,0.027,1,0.6
34,0.026000000000000002,1,0.6
35,0.026000000000000002,1,0.6
36,0.026000000000000002,1,0.6
37,0.026000000000000002,1,0.6
38,0.026000000000000002,1,0.6
39,0.026000000000000002,1,0.6
40,0.025,1,0.6
41,0.023,1,0.6
42,0.023,1,0.6
43,0.023,1,0.6
44,0.023,1,0.6
45,0.022,1,0.6
46,0.022,1,0.6
47,0.02,1,0.6
48,0.02,1,0.6
49,0.02,1,0.6
50,0.016,1,0.6
51,0.019,1,0.6
52,0.018000000000000002,1,0.6
53,0.019,1,0.6
54,0.018000000000000002,1,0.6
55,0.017,1,0.6
56,0.017,1,0.6
57,0.017,1,0.6
58,0.017,1,0.6
59,0.017,1,0.6
60,0.017,1,0.6
61,0.017,1,0.6
62,0.017,1,0.6
63,0.015,1,0.6
64,0.014,1,0.6
65,0.014,1,0.6
66,0.014,1,0.6
67,0.014,1,0.6
68,0.014,1,0.6
69,0.014,1,0.6
70,0.012,1,0.6
71,0.012,1,0.6
72,0.013000000000000001,1,0.6
73,0.013000000000000001,1,0.6
74,0.013000000000000001,1,0.6
75,0.013000000000000001,1,0.6
76,0.013000000000000001,1,0.6
77,0.013000000000000001,1,0.6
78,0.013000000000000001,1,0.6
79,0.013000000000000001,1,0.6
80,0.013000000000000001,1,0.6
81,0.013000000000000001,1,0.6
82,0.013000000000000001,1,0.6
83,0.011,1,0.6
84,0.011,1,0.6
85,0.011,1,0.6
86,0.011,1,0.6
87,0.011,1,0.6
88,0.011,1,0.6
89,0.011,1,0.6
90,0.011,1,0.6
91,0.011,1,0.6
92,0.011,1,0.6
93,0.009000000000000001,1,0.6
94,0.009000000000000001,1,0.6
95,0.009000000000000001,1,0.6
96,0.009000000000000001,1,0.6
97,0.009000000000000001,1,0.6
98,0.01,1,0.6
99,0.01,1,0.6
100,0.01,1,0.6
4,0.246,1,0.7
5,0.218,1,0.7
6,0.198,1,0.7
7,0.154,1,0.7
8,0.138,1,0.7
9,0.124,1,0.7
10,0.108,1,0.7
11,0.11,1,0.7
12,0.088,1,0.7
13,0.093,1,0.7
14,0.089,1,0.7
15,0.075,1,0.7
16,0.076,1,0.7
17,0.07,1,0.7
18,0.065,1,0.7
19,0.058,1,0.7
20,0.061,1,0.7
21,0.061,1,0.7
22,0.054,1,0.7
23,0.055,1,0.7
24,0.049,1,0.7
25,0.052000000000000005,1,0.7
26,0.048,1,0.7
27,0.045,1,0.7
28,0.046,1,0.7
29,0.042,1,0.7
30,0.042,1,0.7
31,0.039,1,0.7
32,0.038,1,0.7
33,0.036000000000000004,1,0.7
34,0.036000000000000004,1,0.7
35,0.034,1,0.7
36,0.033,1,0.7
37,0.03,1,0.7
38,0.03,1,0.7
39,0.032,1,0.7
40,0.032,1,0.7
41,0.032,1,0.7
42,0.032,1,0.7
43,0.031,1,0.7
44,0.031,1,0.7
45,0.028,1,0.7
46,0.028,1,0.7
47,0.026000000000000002,1,0.7
48,0.025,1,0.7
49,0.025,1,0.7
50,0.026000000000000002,1,0.7
51,0.026000000000000002,1,0.7
52,0.025,1,0.7
53,0.024,1,0.7
54,0.021,1,0.7
55,0.021,1,0.7
56,0.022,1,0.7
57,0.022,1,0.7
58,0.022,1,0.7
59,0.022,1,0.7
60,0.022,1,0.7
61,0.022,1,0.7
62,0.022,1,0.7
63,0.02,1,0.7
64,0.019,1,0.7
65,0.018000000000000002,1,0.7
66,0.016,1,0.7
67,0.016,1,0.7
68,0.016,1,0.7
69,0.016,1,0.7
70,0.016,1,0.7
71,0.017,1,0.7
72,0.017,1,0.7
73,0.017,1,0.7
74,0.017,1,0.7
75,0.017,1,0.7
76,0.017,1,0.7
77,0.017,1,0.7
78,0.017,1,0.7
79,0.017,1,0.7
80,0.017,1,0.7
81,0.015,1,0.7
82,0.015,1,0.7
83,0.015,1,0.7
84,0.015,1,0.7
85,0.015,1,0.7
86,0.014,1,0.7
87,0.014,1,0.7
88,0.014,1,0.7
89,0.014,1,0.7
90,0.014,1,0.7
91,0.014,1,0.7
92,0.012,1,0.7
93,0.012,1,0.7
94,0.012,1,0.7
95,0.012,1,0.7
96,0.012,1,0.7
97,0.012,1,0.7
98,0.012,1,0.7
99,0.012,1,0.7
100,0.012,1,0.7
5,0.269,1,0.8
6,0.248,1,0.8
7,0.20500000000000002,1,0.8
8,0.188,1,0.8
9,0.163,1,0.8
10,0.146,1,0.8
11,0.152,1,0.8
12,0.124,1,0.8
13,0.125,1,0.8
14,0.116,1,0.8
15,0.101,1,0.8
16,0.094,1,0.8
17,0.098,1,0.8
18,0.089,1,0.8
19,0.075,1,0.8
20,0.076,1,0.8
21,0.076,1,0.8
22,0.067,1,0.8
23,0.074,1,0.8
24,0.069,1,0.8
25,0.062,1,0.8
26,0.056,1,0.8
27,0.06,1,0.8
28,0.06,1,0.8
29,0.054,1,0.8
30,0.053,1,0.8
31,0.053,1,0.8
32,0.051000000000000004,1,0.8
33,0.048,1,0.8
34,0.048,1,0.8
35,0.044,1,0.8
36,0.044,1,0.8
37,0.044,1,0.8
38,0.041,1,0.8
39,0.042,1,0.8
40,0.043000000000000003,1,0.8
41,0.043000000000000003,1,0.8
42,0.037,1,0.8
43,0.035,1,0.8
44,0.035,1,0.8
45,0.035,1,0.8
46,0.036000000000000004,1,0.8
47,0.033,1,0.8
48,0.034,1,0.8
49,0.034,1,0.8
50,0.034,1,0.8
51,0.034,1,0.8
52,0.03,1,0.8
53,0.03,1,0.8
54,0.03,1,0.8
55,0.031,1,0.8
56,0.031,1,0.8
57,0.027,1,0.8
58,0.027,1,0.8
59,0.027,1,0.8
60,0.029,1,0.8
61,0.028,1,0.8
62,0.028,1,0.8
63,0.025,1,0.8
64,0.025,1,0.8
65,0.025,1,0.8
66,0.026000000000000002,1,0.8
67,0.026000000000000002,1,0.8
68,0.026000000000000002,1,0.8
69,0.023,1,0.8
70,0.023,1,0.8
71,0.023,1,0.8
72,0.022,1,0.8
73,0.022,1,0.8
74,0.021,1,0.8
75,0.021,1,0.8
76,0.022,1,0.8
77,0.022,1,0.8
78,0.022,1,0.8
79,0.021,1,0.8
80,0.021,1,0.8
81,0.021,1,0.8
82,0.019,1,0.8
83,0.019,1,0.8
84,0.019,1,0.8
85,0.02,1,0.8
86,0.018000000000000002,1,0.8
87,0.018000000000000002,1,0.8
88,0.018000000000000002,1,0.8
89,0.018000000000000002,1,0.8
90,0.018000000000000002,1,0.8
91,0.016,1,0.8
92,0.016,1,0.8
93,0.016,1,0.8
94,0.016,1,0.8
95,0.016,1,0.8
96,0.017,1,0.8
97,0.017,1,0.8
98,0.017,1,0.8
99,0.017,1,0.8
100,0.017,1,0.8
7,0.271,1,0.9
8,0.273,1,0.9
9,0.225,1,0.9
10,0.197,1,0.9
11,0.2,1,0.9
12,0.17500000000000002,1,0.9
13,0.162,1,0.9
14,0.15,1,0.9
15,0.148,1,0.9
16,0.128,1,0.9
17,0.13,1,0.9
18,0.11900000000000001,1,0.9
19,0.109,1,0.9
20,0.10400000000000001,1,0.9
21,0.1,1,0.9
22,0.094,1,0.9
